Category,Product Name,Vendor,Per Box Price,Quantity per Box,Delivery Date,Stems Available
Roses,ROS PKM Miss Piggy 60,Tavola,$182.22222222222,100,28-Oct-2025,500
Roses,ROS PKM Rosita Vendela 50,Tavola,$194.44444444444,125,28-Oct-2025,250
Roses,ROS PKM Rosita Vendela 60,Tavola,$175.55555555556,100,29-Oct-2025,400
Roses,ROS PKM RP Flamingo 50,Tavola,$175.55555555556,100,28-Oct-2025,3400
Roses,ROS PKM Sweet 4 Love 50,Tavola,$208.88888888889,100,28-Oct-2025,200
Roses,ROS PKM Sweet Memory 50,Tavola,$171.11111111111,100,29-Oct-2025,200
Roses,ROS PKM Sweet Unique 50,Tavola,$171.11111111111,100,29-Oct-2025,800
Roses,ROS RED Born Free 60,Tavola,$171.11111111111,100,29-Oct-2025,200
Roses,ROS RED Explorer 50,Tavola,$175.55555555556,100,29-Oct-2025,300
Roses,ROS RED Explorer 60,Tavola,$182.22222222222,100,28-Oct-2025,900
Roses,ROS RED Explorer 70,Tavola,$197.77777777778,100,28-Oct-2025,1500
Roses,ROS RED Explorer 80,Tavola,$153.33333333333,75,29-Oct-2025,300
Roses,ROS RED Explorer 80,Tavola,$204.44444444444,100,28-Oct-2025,1500
Roses,ROS RED Freedom 50,Tavola,$171.11111111111,100,28-Oct-2025,900
Roses,ROS RED Freedom 50,Tavola,$213.88888888889,125,28-Oct-2025,1625
Roses,ROS RED Freedom 50,Tavola,$342.22222222222,200,28-Oct-2025,400
Roses,ROS RED Freedom 60,Tavola,$182.22222222222,100,29-Oct-2025,2400
Roses,ROS RED Freedom 70,Tavola,$193.33333333333,100,28-Oct-2025,8200
Roses,ROS RED Freedom 80,Tavola,$193.33333333333,100,28-Oct-2025,5100
Roses,ROS RED Redvolution 50,Tavola,$175.55555555556,100,28-Oct-2025,200
Roses,ROS RED Redvolution 60,Tavola,$186.66666666667,100,29-Oct-2025,200
Roses,ROS SAN Quicksand 50,Tavola,$427.77777777778,125,28-Oct-2025,750
Roses,ROS SAN Quicksand 50,Tavola,$342.22222222222,100,28-Oct-2025,700
Roses,ROS SAN Quicksand 60,Tavola,$331.11111111111,100,28-Oct-2025,500
Roses,ROS SAN Quicksand 70,Tavola,$342.22222222222,100,28-Oct-2025,500
Roses,ROS WHITE ESCIMO WHITE 40 40,VistaFlor,$127.77777777778,125,28-Oct-2025,375
Roses,ROS WHT Akito 50,Tavola,$171.11111111111,100,28-Oct-2025,1300
Roses,ROS WHT Candlelight 50,Tavola,$133.33333333333,75,28-Oct-2025,825
Roses,ROS WHT Coldplay 70,Tavola,$208.88888888889,100,28-Oct-2025,200
Roses,ROS WHT Escimo 40,Tavola,$175.55555555556,100,28-Oct-2025,1200
Roses,ROS WHT Mia 70,Tavola,$208.88888888889,100,28-Oct-2025,200
Roses,ROS WHT Mondial 50,Tavola,$175.55555555556,100,28-Oct-2025,2200
Roses,ROS WHT Mondial 60,Tavola,$182.22222222222,100,28-Oct-2025,900
Roses,ROS WHT Mondial 70,Tavola,$193.33333333333,100,29-Oct-2025,400
Roses,ROS WHT Mondial 80,Tavola,$153.33333333333,75,29-Oct-2025,450
Roses,ROS WHT Moonstone 70,Tavola,$133.33333333333,75,28-Oct-2025,600
Roses,ROS WHT Moonstone 80,Tavola,$133.33333333333,75,28-Oct-2025,225
Roses,ROS WHT Playa Blanca 50,Tavola,$275.55555555556,100,28-Oct-2025,200
Roses,ROS WHT Playa Blanca 70,Tavola,$275.55555555556,100,28-Oct-2025,6100
Roses,ROS WHT Playa Blanca 80,Tavola,$275.55555555556,100,28-Oct-2025,2800
Roses,ROS WHT Playa Blanca Mix,Tavola,$253.33333333333,100,28-Oct-2025,200
Roses,ROS WHT Polar Star 50,Tavola,$182.22222222222,100,28-Oct-2025,200
Roses,ROS WHT Polo 50,Tavola,$164.44444444444,100,28-Oct-2025,200
Roses,ROS WHT Polo 60,Tavola,$182.22222222222,100,28-Oct-2025,400
Roses,ROS WHT Polo 70,Tavola,$186.66666666667,100,28-Oct-2025,800
Roses,ROS WHT RP Tundra 50,Tavola,$182.22222222222,100,28-Oct-2025,200
Roses,ROS WHT Tibet 50,Tavola,$241.66666666667,125,28-Oct-2025,250
Roses,ROS WHT Tibet 50,Tavola,$193.33333333333,100,28-Oct-2025,2500
Roses,ROS WHT Tibet 70,Tavola,$253.33333333333,100,28-Oct-2025,200
Roses,ROS WHT Vendela 60,Tavola,$164.44444444444,100,29-Oct-2025,600
Roses,ROS WHT Vendela 70,Tavola,$160,100,28-Oct-2025,300
Roses,ROS YLW - BIC High & Yellow Flame 50,Tavola,$194.44444444444,125,29-Oct-2025,250
Roses,ROS YLW Brighton 80,Tavola,$186.66666666667,100,28-Oct-2025,200
Roses,ROS YLW High & Exotic 50,Tavola,$202.22222222222,100,29-Oct-2025,200
Roses,ROS YLW Idole 50,Tavola,$263.33333333333,150,28-Oct-2025,750
Roses,ROS YLW Kings Cross 70,Tavola,$197.77777777778,100,29-Oct-2025,300
Roses,ROS YLW Kings Cross 80,Tavola,$151.66666666667,75,28-Oct-2025,375
Roses,ROS YLW Light House 50,Tavola,$219.44444444444,125,28-Oct-2025,500
Roses,ROS YLW Momentum 70,Tavola,$182.22222222222,100,28-Oct-2025,700
Roses,ROS YLW Momentum 80,Tavola,$140,75,28-Oct-2025,150
Roses,ROS YLW Super Sun 50,Tavola,$241.66666666667,125,29-Oct-2025,250
Roses,ROS YLW Super Sun 60,Tavola,$204.44444444444,100,29-Oct-2025,300
Roses,Rose (Garden) Caramel Antique 40/50 cm,Allure Farms,$122.66666666667,48,28-Oct-2025,192
Roses,Rose (Garden) Orange Reeva,Allure Farms,$105.55555555556,50,30-Oct-2025,100
Roses,Rose (Garden) Peach David Austin Juliet,Allure Farms,$201.6,48,28-Oct-2025,144
Roses,Rose (Garden) Peach Princess Maya,Allure Farms,$201.6,48,28-Oct-2025,96
Roses,Rose (Garden) Pink Mayra Rose 60 cm,Allure Farms,$197.77777777778,100,29-Oct-2025,200
